Издатель,Количество игр,Средняя цена,Средние владельцы,Средний CCU,Суммарный доход (оценка),Средний метаскор,Средняя доля положительных отзывов
Natako Studio,1,,10000.0,0.0,0.0,,0.0
Nathan Brown,1,,10000.0,0.0,0.0,,0.0
NerdyBird Studios,1,,10000.0,0.0,0.0,,1.0
Never Dream,1,82.0,10000.0,0.0,820000.0,,1.0
Nevsram,1,61.0,10000.0,0.0,610000.0,,0.5
New Reality Games,1,21.0,750000.0,1.0,15750000.0,,0.2857
New Worlds Games,1,82.0,10000.0,0.0,820000.0,,0.0
Next Game,1,249.0,10000.0,0.0,2490000.0,,1.0
Next in Game,1,,10000.0,0.0,0.0,,0.0
Ni Hao,1,200.0,10000.0,0.0,2000000.0,,0.9688
Nick Marinello,1,,10000.0,0.0,0.0,,0.0
Nifty Productions,1,154.0,10000.0,0.0,1540000.0,,0.9
"Nightdive Studios, Atari",1,,150000.0,1.0,0.0,,0.9172
"Ningbo Inception Media Co., Ltd. ",1,,75000.0,3.0,0.0,,0.7449
Noble Master LLC,1,,350000.0,5.0,0.0,,1.0
Nor,1,,10000.0,0.0,0.0,,0.0
Nord GS,1,,10000.0,0.0,0.0,,0.5
NotionTheory,1,,10000.0,0.0,0.0,,0.0
Novalink,1,,10000.0,0.0,0.0,,0.0
Nowhere Studios,1,,10000.0,0.0,0.0,,0.0
Nuked Cockroach,1,,10000.0,0.0,0.0,,0.0
"Nuno ""Omega Leo"" Diogo",1,,10000.0,0.0,0.0,,0.0
Nyanco Channel,2,82.0,10000.0,0.0,1640000.0,,0.5
O.T.K Games,1,82.0,10000.0,0.0,820000.0,,0.9552
OGPlanet,1,,10000.0,0.0,0.0,,1.0
Ojas VR Studios,1,,10000.0,0.0,0.0,,0.0
Oleg Sereda,1,82.0,10000.0,0.0,820000.0,,1.0
Oli Taylor,1,30.0,35000.0,0.0,1050000.0,,0.6667
On The Level Studio Pty Ltd,1,,10000.0,0.0,0.0,,0.0
OnSkull Games,1,165.0,35000.0,0.0,5775000.0,,0.4314
Oneironaut Academy LLC,1,,10000.0,0.0,0.0,,0.5
OrgAction LLC,1,30.0,10000.0,0.0,300000.0,,1.0
PJ Faynik,1,,10000.0,0.0,0.0,,1.0
PLAYISM,1,249.0,10000.0,0.0,2490000.0,,0.5591
PQube,1,,10000.0,0.0,0.0,,1.0
PRODUCTION PENCIL,1,710.0,10000.0,0.0,7100000.0,,0.5833
